ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,number_rented,revenue,latitude,longitude,is_superhost,number_of_reviews,2023_price,2023_predict_price,2024_price,2024_predict_price,2025_price,2025_predict_price,2026_price,2026_predict_price
16428654,2.00,3.00,3.00,Espaço inteiro: apartamento,335,938000.00,-27.15,-48.59,False,5,2800.00,2423.43,2906.68,2534.83,3022.66,2635.53,3143.56,2749.28
31649240,2.00,3.00,3.00,Espaço inteiro: condomínio,335,837500.00,-27.10,-48.62,False,0,2500.00,2295.65,2595.25,2381.05,2698.80,2523.28,2806.75,2589.19
22876372,3.00,3.00,7.00,Espaço inteiro: apartamento,336,691200.00,-27.11,-48.61,True,35,2057.14,1943.62,2135.52,2023.93,2220.73,2118.22,2309.56,2201.84
44699323,4.00,4.00,5.00,Espaço inteiro: apartamento,333,666000.00,-27.10,-48.61,False,0,2000.00,1951.92,2076.20,2015.57,2159.04,2098.29,2245.40,2186.30
52884842,4.00,4.00,4.00,Espaço inteiro: apartamento,336,639000.00,-27.13,-48.60,False,1,1901.79,1902.19,1974.24,1976.40,2053.02,2045.05,2135.14,2124.78
54145466,4.00,4.00,4.00,Espaço inteiro: apartamento,318,629500.00,-27.14,-48.59,False,0,1979.56,1960.60,2054.98,2031.20,2136.97,2115.26,2222.45,2198.75
747127672964176132,3.00,3.00,6.00,Espaço inteiro: casa,315,614250.00,-27.15,-48.58,False,0,1950.00,1924.15,2024.30,1993.03,2105.06,2083.49,2189.27,2154.78
39215658,4.00,3.00,3.00,Espaço inteiro: apartamento,336,605200.00,-27.13,-48.61,False,0,1801.19,1843.06,1869.82,1911.96,1944.42,1986.07,2022.20,2068.31
53188113,4.00,4.00,4.00,Espaço inteiro: apartamento,294,581800.00,-27.14,-48.60,False,2,1978.91,1950.17,2054.31,2022.37,2136.27,2101.75,2221.73,2189.96
31041645,4.00,3.00,3.00,Espaço inteiro: apartamento,232,580000.00,-27.14,-48.60,False,0,2500.00,2266.36,2595.25,2367.22,2698.80,2434.96,2806.75,2531.22
766788707373767791,3.00,3.00,4.00,Espaço inteiro: apartamento,282,557550.00,-27.13,-48.60,False,0,1977.13,1873.58,2052.46,1945.07,2134.35,2025.97,2219.72,2091.85
53558707,3.00,3.00,4.00,Espaço inteiro: apartamento,336,537600.00,-27.10,-48.61,False,9,1600.00,1639.67,1660.96,1702.43,1727.23,1775.01,1796.32,1858.59
45008157,5.00,4.00,4.00,Espaço inteiro: apartamento,320,528480.00,-27.13,-48.60,True,22,1651.50,1672.16,1714.42,1729.92,1782.83,1803.43,1854.14,1872.56
53715659,3.00,4.00,4.00,Espaço inteiro: condomínio,334,492800.00,-27.14,-48.59,False,0,1475.45,1544.58,1531.66,1614.22,1592.78,1675.21,1656.49,1744.32
30466884,2.00,3.00,4.00,Espaço inteiro: apartamento,277,484750.00,-27.11,-48.61,False,0,1750.00,1641.49,1816.67,1711.14,1889.16,1788.24,1964.73,1858.96
698609052948535659,4.00,4.00,5.00,Espaço inteiro: apartamento,256,460400.00,-27.14,-48.59,False,0,1798.44,1773.26,1866.96,1834.74,1941.45,1906.42,2019.11,1981.73
