ad_id,ad_name,ad_description,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,average_price,number_rented,revenue,latitude,longitude
16428654,APTO imperdível na ÁREA NOBRE  MEIA PRAIA  Itapema,"Prédio com ELEVADOR E RESERVATÓRIO DE ÁGUA, Quadra Mar,   WI-FI, 2 vaga garagem, 3 Ar condicionado,  1 coberta e outra descoberta, 3 quartos, câmeras de segurança.  Filtro água gelada, torneira água quente. tirar o carro só para turismo. - Quadra de vôlei, Bocha, Basquete - mesa ping pong;                                                         - Mercado, farmácia e panificadora  próximo; Ideal para famílias, amigos e viajantes, apto arejado, claro e limpíssimo, ótima vista., área comum linda.",2.00,3.00,3.00,Espaço inteiro: apartamento,2800.00,335,938000.00,-27.15,-48.59
22876372,Apartamento Pé na Areia | Itapema-SC,"Apartamento de alto padrão com localização exclusiva em Itapema de frente para o mar/pé na areia. A praia é tranquila para descansar e relaxar, com larga faixa de areia, próximo também das praias de Balneário Camboriú, Porto Belo, Bombinhas e Florianópolis. Condomínio exclusivo para pessoas que buscam conforto, tranquilidade e privacidade.",3.00,3.00,7.00,Espaço inteiro: apartamento,2057.14,434,892800.00,-27.11,-48.61
31649240,Apartamento/centro-Itapema/Conforto e segurança,"Oi pessoal, então nosso apartamento foi feito totalmente pensado em nós, nossos gostos, estilo pessoal, sempre valorizando o conforto e o prazer de estar dentro de casa, hoje ele está do jeitinho que sonhamos, com segurança 24h, 2 vagas privativa,  e para variar com ótimo localização, na quadra da praia do centro, próxima de super mercado e lojas,  posto de gasolina, a 20min de balneário Camboriú.",2.00,3.00,3.00,Espaço inteiro: condomínio,2500.00,348,870000.00,-27.10,-48.62
44699323,"Apto de Luxo, Novo, 04 Suítes a 80 mts da praia.",Lindo e moderno apartamento em Itapema com vista e ao lado do mar.,4.00,4.00,5.00,Espaço inteiro: apartamento,1961.07,420,823650.00,-27.10,-48.61
52884842,Lindo Apartamento 4 Suítes com Vista para o Mar,"Apartamento com 4 suítes e com 3 vagas de garagem. Finamente mobiliado com móveis sob-medida. O Apartamento na Região central de Meia Praia (Itapema) perto dos shoppings. O Edifício Fica a 300 metros da praia. Possui área de Lazer, churrasqueira, sala de jogos, academia. Apartamento de uso da família, muito bem cuidado. A área de lazer possui piscina e jacuzzi, no entanto o condomínio não permite o uso para locatários de temporada nesses dois ambientes. Máximo 10 pessoas(8 adultos, 2 crianças)",4.00,4.00,4.00,Espaço inteiro: apartamento,1889.95,413,780550.00,-27.13,-48.60
39215658,Apartamento na Meia Praia - COM PISCINA PRIVATIVA,"Edifício alto padrão, localizado no centro da meia praia. 100m do mar. Próximo ao Shopping Russi e Calçadão. Prédio seguro com gerador de luz próprio, vigilante, 2 elevadores, porta entrada com fechadura eletrônica. Heliponto. Apartamento diferenciado: 3 suítes, banheiro social, sacada ensolarada com churrasqueira e fechada com reiki. 3 vagas de garagem. Piscina privativa. Para pessoas de bom gosto.",4.00,3.00,3.00,Espaço inteiro: apartamento,1806.68,419,757000.00,-27.13,-48.61
45008157,Like Home - Cobertura Frente-Mar com Piscina Privativa,"Vivencie experiências inesquecíveis com sua família e amigos nesta incrível cobertura frente-mar!! ♡  » Exclusiva vista da orla de Meia Praia.  » Piscina privativa na cobertura!  » 2 vagas de garagem de fácil acesso.  » Lençóis e toalhas direto da lavanderia.  » Espaço exclusivo para crianças no apartamento.  A Like Home disponibiliza descontos exclusivos em diversas atividades no litoral, como:  » Passeio de Iate;  » Passeio no barco pirata;  » Mergulho em Bombinhas.",5.00,4.00,4.00,Espaço inteiro: apartamento,1667.48,405,675330.00,-27.13,-48.60
747127672964176132,Lindo sobrado de frente para o mar.,Relaxe com toda a família nesta acomodação tranquila. São 3 suítes com ar condicionado. Casa muito bem localizada.,3.00,3.00,6.00,Espaço inteiro: casa,1901.75,342,650400.00,-27.15,-48.58
54145466,Apartamento encantador na quadro do mar.,"Sua família vai estar perto de tudo ao ficar neste lugar bem-localizado. Próximo a praia, restaurantes, mercados, farmácias, centro comercial etc…",4.00,4.00,4.00,Espaço inteiro: apartamento,1967.79,326,641500.00,-27.14,-48.59
31041645,"Apartamento Luxuoso,3 suites , amplo ,Itapema","Apartamento amplo , luxoso,arejado com decoração de excelente qualidade e beleza bem localizado a 300 m da praia numa das praias mais badaladas e bonitas do litoral catarinense ""Meia praia  Itapema"". Essa localização é privilegiada próximo de bares restaurantes lanchonetes padarias farmácias entre outros... Outro ponto de destaque é a vista maravilhosa desta linda cidade... quartos suite amplos com ar condicionado, vaga para dois carros,wi -fi,suas férias com conforto e tranquilidade",4.00,3.00,3.00,Espaço inteiro: apartamento,2422.73,264,639600.00,-27.14,-48.60
